theme,question,option_a,option_b,option_c,option_d,correct,level
"Harry Potter","What is the name of Harry Potter's owl?","Crookshanks","Hedwig","Nagini","Buckbeak","B","easy"
"Harry Potter","What position does Harry Potter play in Quidditch?","Chaser","Keeper","Seeker","Beater","C","easy"
"Harry Potter","What is Hagrid's first name?","Albus","Rubeus","Remus","Severus","B","easy"
"Harry Potter","What is the name of the cat belonging to Hogwarts' caretaker, Argus Filch?","Mrs. Norris","Crookshanks","Nagini","Fawkes","A","easy"
"Harry Potter","What is the name of Harry Potter's hometown?","Privet Drive","Diagon Alley","Godric's Hollow","Hogsmeade","C","easy"
"Harry Potter","How many players are there on a Quidditch team?","5","7","9","11","B","easy"
"Harry Potter","What is the original name of the J.K. Rowling book “Harry Potter and the Sorcerer's Stone”?","Harry Potter and the Chamber of Secrets","Harry Potter and the Philosopher's Stone","Harry Potter and the Goblet of Fire","Harry Potter and the Prisoner of Azkaban","B","easy"
"Harry Potter","After being destroyed by the Whomping Willow, Harry's Nimbus 2000 is replaced with what broom?","Nimbus 2001","Firebolt","Cleansweep","Comet","B","easy"
"Harry Potter","What is Hermione Granger's middle name?","Jane","Jean","June","Joy","B","easy"
"Harry Potter","What pub does the Knight Bus drop Harry Potter off at after he flees the Dursleys' in “Harry Potter and the Prisoner of Azkaban”?","The Three Broomsticks","The Leaky Cauldron","The Hog's Head","The Shrieking Shack","B","easy"
"Harry Potter","What is the name of the house elf who warns Harry Potter against returning to Hogwarts in “Harry Potter and the Chamber of Secrets”?","Kreacher","Winky","Dobby","Hokey","C","easy"
"Harry Potter","What three schools of magic compete in the Triwizard Tournament in “Harry Potter and the Goblet of Fire”?","Hogwarts, Slytherin, and Ravenclaw","Hogwarts, Durmstrang and Beauxbatons","Hogwarts, Hufflepuff, and Gryffindor","Hogwarts, Ilvermorny, and Castelobruxo","B","easy"
"Harry Potter","What is Minerva McGonagall a professor of at Hogwarts School for Witchcraft and Wizardry?","Potions","Charms","Transfiguration","Defense Against the Dark Arts","C","easy"
"Harry Potter","Before “Twilight,” Robert Pattinson appeared in “Harry Potter and the Goblet of Fire” as what character?","Draco Malfoy","Cedric Diggory","Viktor Krum","Oliver Wood","B","easy"
"Harry Potter","What is the name of the wand shop in Diagon Alley?","Flourish and Blotts","Ollivanders","Madam Malkin's","Quality Quidditch Supplies","B","easy"
"Harry Potter","The deepest vaults of Gringotts Bank are protected by what?","A goblin","A troll","A dragon","A sphinx","C","easy"
"Harry Potter","What is the name of the plant with healing properties whose scream is so piercing it can be fatal?","Devil's Snare","Mandrake","Venomous Tentacula","Fluxweed","B","easy"
"Harry Potter","What are the four houses of Hogwarts?","Gryffindor, Slytherin, Hufflepuff and Ravenclaw","Durmstrang, Beauxbatons, Ilvermorny and Koldovstoretz","Gryffindor, Hufflepuff, Ravenclaw and Thunderbird","Slytherin, Pukwudgie, Horned Serpent and Wampus","A","easy"
"Harry Potter","What defensive spell can be used to deflect spells cast by enemies and other wizards?","Expelliarmus","The Protego spell","Stupefy","Accio","B","easy"
"Harry Potter","Which Harry Potter character is dubbed “The Half-Blood Prince”?","Draco Malfoy","Severus Snape","Tom Riddle","Horace Slughorn","B","easy"
"Harry Potter","What animal is Harry Potter's patronus?","A doe","A phoenix","The stag","A wolf","C","easy"
