theme,question,option_a,option_b,option_c,option_d,correct,level
Marvel,"The first MCU movie with nudity, Love and Thunder is the subtitle of the upcoming fourth film revolving around what hammered title hero?",Thor,Iron Man,Hulk,Captain America,A,1
Marvel,"The MCU show Loki introduced the world to the world authority on the time stream, known by what three-letter acronym?",SHIELD,AIM,TVA,SWORD,C,1
Marvel,What female-led Marvel movie was the last film to be released before Avengers: Endgame?,Black Panther,Doctor Strange,Captain Marvel,Ant-Man and the Wasp,C,1
Marvel,"Even though you can't huff it off a rag, the Reality Stone that almost destroyed Jane Foster has what A-word or E-word name in Asgard?",Tesseract,Aether,Bifrost,Orb,B,1
Marvel,There is a meme from a 1960s cartoon of three different versions of what Marvel superhero pointing at each other?,Hulk,Wolverine,Spider-Man,Thor,C,1
Marvel,"What man, an expert in the field of gamma radiation, is one of the most educated people in the Marvel universe, with seven PhDs to his name?",Hank Pym,Bruce Banner,Tony Stark,Reed Richards,B,1
Marvel,"What red-headed character had a fondness for the Hulk, which resulted in a kiss in Avengers: The Age of Ultron?",Pepper Potts,Black Widow,Scarlet Witch,Jane Foster,B,1
Marvel,"After Tony Stark buys her some in Iron Man 2, Pepper Potts reveals that she is allergic to what fruit?",Apples,Oranges,Strawberries,Bananas,C,1
Marvel,Which 'odd' character in the Marvel Cinematic Universe wears an amulet called the Eye of Agamotto?,Loki,Doctor Strange,Vision,Scarlet Witch,B,1
Marvel,"He may be known as Odinson, but which goddess is Thor's mother?",Sif,Frigga,Hela,Freya,B,1
Marvel,O-o-h Child by The Five Stairsteps is a 1970 soul song that features prominently in the finale of which Marvel film?,Thor Ragnarok,Captain America Winter Soldier,Avengers Age of Ultron,Guardians of the Galaxy,D,1
Marvel,The H in Tony Stark's acronymic EDITH glasses stands for what word associated with every MCU movie?,Human,Hero,Heart,Hope,B,1
Marvel,"During the Battle Of Earth between MCU heroes and Thanos’ forces in Avengers: Endgame, what character made a surprise appearance as Rescue?",Shuri,Pepper Potts,Okoye,Wanda,B,1
Marvel,T'Challa is most often known by the name of his alter ego. What is this alter ego?,Blade,War Machine,Black Panther,Falcon,C,1
Marvel,"Bearing the name of his childhood crush, the Milano is a ship owned by which character in the Marvel Cinematic Universe?",Rocket Raccoon,Drax,Peter Quill (Star-Lord),Groot,C,1
Marvel,"At the end of Captain America: The First Avenger, Steve Rogers realizes something is amiss due to a radio playing an old match of what sport?",Football,Boxing,Baseball,Basketball,C,1
Marvel,Which MCU film title references a title that has been held by several members of the same family?,Iron Man,Spider-Man,Captain America,Black Panther,D,1
Marvel,"The sworn enemy of Professor X, which iron-willed Marvel supervillain is known for his purple garb and metal helmet?",Apocalypse,Magneto,Juggernaut,Sabretooth,B,1
Marvel,"At the end of the first Guardians of the Galaxy movie, what song does Baby Groot dance to?",Hooked on a Feeling,Ain't No Mountain High Enough,I Want You Back,Come and Get Your Love,D,1
Marvel,"When his family disappeared during Thanos’ snap, Hawkeye began killing criminals under what new name?",Ghost,Deadpool,Ronin,Punisher,C,1
Marvel,Bucky Barnes is known by what two-word superhero name?,Falcon,Blade,Winter Soldier,Ghost Rider,C,1
Marvel,"In Avengers: Endgame (2019), which character is able to lift Thor’s hammer?",Hulk,Captain America,Iron Man,Spider-Man,B,1
Marvel,"When we meet Benedict Cumberbatch’s Doctor Strange in the 2016 film, we see that he’s not just any MD—he’s a brainy surgeon. What’s his medical specialty?",Cardiology,Pediatrics,Neurosurgery,Orthopedics,C,1
