theme,question,option_a,option_b,option_c,option_d,correct,level
Marvel,"The first MCU movie with nudity, Love and Thunder is the subtitle of the fourth film revolving around what hammered title hero?",Thor,Iron Man,Hulk,Captain America,A,1
Marvel,"The MCU show Loki introduced the world to the world authority on the time stream, known by what three-letter acronym?",SHIELD,AIM,TVA,SWORD,C,1
Marvel,What female-led Marvel movie was the last film to be released before Avengers: Endgame?,Black Panther,Doctor Strange,Captain Marvel,"Ant-Man and the Wasp",C,1
Marvel,"Even though you can't huff it off a rag, the Reality Stone that almost destroyed Jane Foster has what A-word or E-word name in Asgard?",Tesseract,Aether,Bifrost,Orb,B,1
Marvel,There is a meme from a 1960s cartoon of three different versions of what Marvel superhero pointing at each other?,Hulk,Wolverine,Spider-Man,Thor,C,1
Marvel,"What man, an expert in the field of gamma radiation, is one of the most educated people in the Marvel universe, with seven PhDs to his name?",Hank Pym,Bruce Banner,Tony Stark,Reed Richards,B,1
Marvel,"What red-headed character had a fondness for the Hulk, which resulted in a kiss in Avengers: The Age of Ultron?",Pepper Potts,Black Widow,Scarlet Witch,Jane Foster,B,1
Marvel,"After Tony Stark buys her some in Iron Man 2, Pepper Potts reveals that she is allergic to what fruit?",Apples,Oranges,Strawberries,Bananas,C,1
Marvel,Which 'odd' character in the Marvel Cinematic Universe wears an amulet called the Eye of Agamotto?,Loki,Doctor Strange,Vision,Scarlet Witch,B,1
Marvel,"He may be known as Odinson, but which goddess is Thor's mother?",Sif,Frigga,Hela,Freya,B,1
Marvel,"O-o-h Child by The Five Stairsteps is a 1970 soul song that features prominently in the finale of which Marvel film?","Thor Ragnarok","Captain America Winter Soldier","Avengers Age of Ultron","Guardians of the Galaxy",D,1
Marvel,The H in Tony Stark's acronymic EDITH glasses stands for what word associated with every MCU movie?,Human,Hero,Heart,Hope,B,1
Marvel,"During the Battle Of Earth between MCU heroes and Thanos’ forces in Avengers: Endgame, what character made a surprise appearance as Rescue?",Shuri,Pepper Potts,Okoye,Wanda,B,1
Marvel,"T'Challa is most often known by the name of his alter ego. What is this alter ego?",Blade,War Machine,Black Panther,Falcon,C,1
Marvel,"Bearing the name of his childhood crush, the Milano is a ship owned by which character in the Marvel Cinematic Universe?","Rocket Raccoon",Drax,"Peter Quill (Star-Lord)",Groot,C,1
Marvel,"At the end of Captain America: The First Avenger, Steve Rogers realizes something is amiss due to a radio playing an old match of what sport?",Football,Boxing,Baseball,Basketball,C,1
Marvel,Which MCU film title references a title that has been held by several members of the same family?,Iron Man,Spider-Man,Captain America,Black Panther,D,1
Marvel,"The sworn enemy of Professor X, which iron-willed Marvel supervillain is known for his purple garb and metal helmet?",Apocalypse,Magneto,Juggernaut,Sabretooth,B,1
Marvel,"At the end of the first Guardians of the Galaxy movie, what song does Baby Groot dance to?","Hooked on a Feeling","Ain't No Mountain High Enough","I Want You Back","Come and Get Your Love",D,1
Marvel,"When his family disappeared during Thanos’ snap, Hawkeye began killing criminals under what new name?",Ghost,Deadpool,Ronin,Punisher,C,1
Marvel,Bucky Barnes is known by what two-word superhero name?,Falcon,Blade,"Winter Soldier","Ghost Rider",C,1
Marvel,"In Avengers: Endgame (2019), which character is able to lift Thor’s hammer?",Hulk,Captain America,Iron Man,Spider-Man,B,1
Marvel,"When we meet Benedict Cumberbatch’s Doctor Strange in the 2016 film, we see that he’s not just any MD—he’s a brainy surgeon. What’s his medical specialty?",Cardiology,Pediatrics,Neurosurgery,Orthopedics,C,1
Marvel,"In the 2015 film Avengers: Age of Ultron, Tony Stark replaced J.R.V.I.S. with what AI assistant?",EDITH,F.R.I.Y.,U.L.T.R.O.N.,K.R.E.N.,B,1
Marvel,"The Marvels is a Marvel Cinematic Universe movie featuring Captain Marvel, Ms. Marvel, and Monica Rambeau, who previously had shown up in what Disney+ series?",Loki,"Moon Knight",Hawkeye,WandaVision,D,1
Marvel,"Aside from his tenure as Falcon, in 2014 Sam Wilson suited up as an 'All-New' version of what Avenger?",Iron Man,"Ant-Man","Captain America","Hawk eye",C,1
Marvel,"They all work out, but Gamora compares which Avenger's muscles to Cotati metal fibers?",Hulk,Iron Man,Thor,Captain America,C,1
Marvel,"The Disney+ show Loki introduces a female variant of the Asgardian god of mischief, who goes by what “S” name?",Sif,Sylvie,Sigyn,Skaadi,B,1
Marvel,The Warriors Three are a group of supporting characters that have appeared in all three Marvel Cinematic Universe films dedicated to what hero?,Loki,Iron Man,Hulk,Thor,D,1
Marvel,"Pepper being a nickname bestowed by Tony Stark, what is Ms. Potts’ actual first name?",Veronica,Virginia,Victoria,Valerie,B,1
Marvel,What exoplanet is the native home of Thanos?,Zen-Whoberi,Titan,Vormir,Ego,B,1
Marvel,"In the MCU, Samuel L. Jackson plays what head of the S.H.I.E.L. organization?","Phil Coulson","Alexander Pierce","Maria Hill","Nick Fury",D,1
Marvel,What is the name of the high-tech suit worn by Iron Man?,Hulkbuster,"Mark I","War Machine","Iron Man Armor",D,1
Marvel,"In Avengers: Infinity War, what does Thanos seek to balance the universe?","The Mind Stone","The Reality Stone","The Infinity Gauntlet","The Soul Stone",C,1
Marvel,Who is the leader of the Dora Milaje in Black Panther?,Okoye,Shuri,Nakia,Ramonda,A,1
Marvel,What is Doctor Strange's signature weapon?,Mjolnir,"The Cloak of Levitation",Stormbreaker,"The Shield",B,1
Marvel,"In Guardians of the Galaxy, what is Star-Lord's real first name?",Peter,Yondu,Drax,Gamora,A,1
Marvel,What color is Captain America's shield?,Blue,Red,Silver,Gold,C,1
Marvel,Who voices Rocket Raccoon in the MCU?,"Bradley Cooper","Vin Diesel","Chris Pratt","Dave Bautista",A,1
Marvel,What is the name of Thor's home world?,Wakanda,Asgard,Knowhere,Titan,B,1
Marvel,"In Spider-Man: No Way Home, which villain is played by Alfred Molina?",Electro,"Doctor Octopus",Sandman,Lizard,B,1
Marvel,What is the primary element in Iron Man's arc reactor?,Vibranium,Palladium,Adamantium,Kryptonite,B,1
