question,A,B,C,D,correct,level
"The first MCU movie with nudity, Love and Thunder is the subtitle of the upcoming fourth film revolving around what hammered title hero?","Thor","Hulk","Captain America","Iron Man","A","1"
"The MCU show Loki introduced the world to the world authority on the time stream, known by what three-letter acronym?","TVA","SHIELD","SWORD","AIM","A","1"
"What female-led Marvel movie was the last film to be released before Avengers: Endgame?","Captain Marvel","Black Panther","Ant-Man and the Wasp","Doctor Strange","A","1"
"Even though you can't huff it off a rag, the Reality Stone that almost destroyed Jane Foster has what A-word or E-word name in Asgard?","Aether","Bifrost","Tesseract","Orb","A","1"
"There is a meme from a 1960s cartoon of three different versions of what Marvel superhero pointing at each other?","Spider-Man","Hulk","Thor","Wolverine","A","1"
"What man, an expert in the field of gamma radiation, is one of the most educated people in the Marvel universe, with seven PhDs to his name?","Bruce Banner","Tony Stark","Hank Pym","Reed Richards","A","1"
"What red-headed character had a fondness for the Hulk, which resulted in a kiss in Avengers: The Age of Ultron?","Black Widow","Scarlet Witch","Pepper Potts","Jane Foster","A","1"
"After Tony Stark buys her some in Iron Man 2, Pepper Potts reveals that she is allergic to what fruit?","Strawberries","Apples","Bananas","Oranges","A","1"
"Which 'odd' character in the Marvel Cinematic Universe wears an amulet called the Eye of Agamotto?","Doctor Strange","Loki","Vision","Scarlet Witch","A","1"
"He may be known as Odinson, but which goddess is Thor's mother?","Frigga","Sif","Hela","Freya","A","1"
"O-o-h Child by The Five Stairsteps is a 1970 soul song that features prominently in the finale of which Marvel film?","Guardians of the Galaxy","Thor Ragnarok","Avengers Age of Ultron","Captain America Winter Soldier","A","1"
"The H in Tony Stark's acronymic EDITH glasses stands for what word associated with every MCU movie?","Hero","Human","Heart","Hope","A","1"
"During the Battle Of Earth between MCU heroes and Thanos’ forces in Avengers: Endgame, what character made a surprise appearance as Rescue?","Pepper Potts","Shuri","Okoye","Wanda","A","1"
"T'Challa is most often known by the name of his alter ego. What is this alter ego?","Black Panther","Blade","Falcon","War Machine","A","1"
"Bearing the name of his childhood crush, the Milano is a ship owned by which character in the Marvel Cinematic Universe?","Peter Quill (Star-Lord)","Rocket Raccoon","Groot","Drax","A","1"
"At the end of Captain America: The First Avenger, Steve Rogers realizes something is amiss due to a radio playing an old match of what sport?","Baseball","Football","Basketball","Boxing","A","1"
"Which MCU film title references a title that has been held by several members of the same family?","Black Panther","Iron Man","Captain America","Spider-Man","A","1"
"The sworn enemy of Professor X, which iron-willed Marvel supervillain is known for his purple garb and metal helmet?","Magneto","Apocalypse","Juggernaut","Sabretooth","A","1"
"At the end of the first Guardians of the Galaxy movie, what song does Baby Groot dance to?","I Want You Back","Hooked on a Feeling","Come and Get Your Love","Ain't No Mountain High Enough","A","1"
"When his family disappeared during Thanos’ snap, Hawkeye began killing criminals under what new name?","Ronin","Ghost","Punisher","Deadpool","A","1"
"Bucky Barnes is known by what two-word superhero name?","Winter Soldier","Falcon","Ghost Rider","Blade","A","1"
"In Avengers: Endgame (2019), which character is able to lift Thor’s hammer?","Captain America","Iron Man","Hulk","Spider-Man","A","1"
"When we meet Benedict Cumberbatch’s Doctor Strange in the 2016 film, we see that he’s not just any MD—he’s a brainy surgeon. What’s his medical specialty?","Neurosurgery","Cardiology","Orthopedics","Pediatrics","A","1"
"In the 2015 film Avengers: Age of Ultron, Tony Stark replaced J.A.R.V.I.S. with what AI assistant?","F.R.I.D.A.Y.","EDITH","U.L.T.R.O.N.","K.A.R.E.N.","A","1"
"The Marvels is a Marvel Cinematic Universe movie featuring Captain Marvel, Ms. Marvel, and Monica Rambeau, who previously had shown up in what Disney+ series?","WandaVision","Loki","Hawkeye","Moon Knight","A","1"
"The shield of Captain America is forged from an alloy of steel and what other fictional metal that is mined only in Wakanda?","Vibranium","Adamantium","Uru","Vibranium","A","1"
"Aside from his tenure as Falcon, in 2014 Sam Wilson suited up as an 'All-New' version of what Avenger?","Captain America","Iron Man","Hawk eye","Ant-Man","A","1"
"In 2019, writer Jonathan Hickman relaunched one of Marvel’s prominent superhero teams to the fictional island paradise of Krakoa. What team got this makeover?","X-Men","Avengers","Fantastic Four","Inhumans","A","1"
"They all work out, but Gamora compares which Avenger's muscles to Cotati metal fibers?","Thor","Hulk","Captain America","Iron Man","A","1"
"The Disney+ show Loki introduces a female variant of the Asgardian god of mischief, who goes by what “S” name?","Sylvie","Sif","Sigyn","Skaadi","A","1"
"The Warriors Three are a group of supporting characters that have appeared in all three Marvel Cinematic Universe films dedicated to what hero?","Thor","Loki","Hulk","Iron Man","A","1"
"Each Infinity Stone in the MCU embodies and controls an essential aspect of existence - how many of these stones are there?","Six","Four","Five","Seven","A","2"
"What adorable orange tabby cat, first seen in Captain Marvel (2019), is actually a Flerken?","Goose","Chewie","Falcon","Rocket","A","2"
"Pepper being a nickname bestowed by Tony Stark, what is Ms. Potts’ actual first name?","Virginia","Veronica","Victoria","Valerie","A","2"
"Known by the letters VFX, for what area of film production have 12 movies in the Marvel Cinematic Universe been nominated for Academy Awards?","Visual Effects","Sound Editing","Costume Design","Production Design","A","2"
"Portrayed by Corey Stoll, Darren Cross donned a shrinking super suit and became what colorful “stinging” supervillain in the 2015 film Ant-Man?","Yellowjacket","Hornet","Wasp","Bee","A","2"
"In Thor: Love and Thunder, what New Zealand actor played the Greek god Zeus?","Russell Crowe","Jeff Goldblum","Toby Kebbell","Luke Evans","A","2"
"In addition to San Francisco, LA, and Macau, what Australian city was the site for the studio where Shang-Chi and the Legend of the Ten Rings was filmed?","Sydney","Melbourne","Brisbane","Perth","A","2"
"The actress who played Samantha on Who's the Boss, Starlord's ship in Guardians of the Galaxy, and a Pepperidge Farm cookie all share what Italian name?","Milano","Genoa","Naples","Venice","A","2"
"What exoplanet is the native home of Thanos?","Titan","Zen-Whoberi","Vormir","Ego","A","2"
"What is the name of the web series for Hulu set in the MCU which featured six teenagers from different backgrounds?","Runaways","Cloak & Dagger","Helstrom","Inhumans","A","2"
"In the MCU, Samuel L. Jackson plays what head of the S.H.I.E.L.D. organization?","Nick Fury","Phil Coulson","Maria Hill","Alexander Pierce","A","2"
"In Spider-Man: Homecoming, Michael Keaton plays Adrian Toomes, who becomes what flying supervillain?","Vulture","Falcon","Hawk","Eagle","A","2"
"Translated in English as the Committee for State Security, what secret police force was a former employer of Natasha Romanoff?","KGB","FSB","CIA","MI6","A","2"
"What is the name of the 1960s sitcom with a namesake star best known for his portrayal of a chimney sweep?","The Dick Van Dyke Show","Bewitched","I Dream of Jeannie","The Brady Bunch","A","2"
"After T'Challa is handily beaten during a dust-up with Killmonger, he's nursed back to health by what rival mountain tribe?","Jabari","Border Tribe","River Tribe","Merchant Tribe","A","2"
"Scott Lang is the alter ego of what incredible shrinking superhero?","Ant-Man","Wasp","Goliath","Yellowjacket","A","2"
"In Captain America: The First Avenger, Johann Schmidt is the head of HYDRA, better known by what colorfully anatomic name?","Red Skull","Green Goblin","Blue Beetle","Purple Man","A","2"
"In Black Widow, Red Guardian has knuckle tattoos spelling out the name of what Communist Manifesto writer?","Karl Marx","Friedrich Engels","Vladimir Lenin","Joseph Stalin","A","2"
"2022 saw the MCU debut of what lunar anti-hero, played by Oscar Isaac?","Moon Knight","Blade","Ghost Rider","Morbius","A","2"
